2.955    Acceleration: <-1.895, -3.293, 4.924>
2.971    Acceleration: <-2.014, -3.511, 5.234>
2.987    Acceleration: <-2.235, -3.375, 5.129>
3.002    Acceleration: <-2.818, -1.933, 4.019>
3.018    Acceleration: <-2.663, -1.683, 3.973>
3.034    Acceleration: <-3.180, -2.453, 4.776>
3.049    Acceleration: <-3.318, -2.510, 4.972>
3.065    Acceleration: <-3.942, -2.134, 4.659>
3.081    Acceleration: <-3.964, -2.221, 5.324>
3.097    Acceleration: <-4.124, -1.825, 4.845>
3.113    Acceleration: <-4.084, -1.496, 4.555>
3.129    Acceleration: <-3.766, -1.121, 4.350>
3.144    Acceleration: <-1.798, -0.466, 3.382>
3.160    Acceleration: <-1.291, -0.486, 2.811>
3.177    Acceleration: <-0.480, -0.245, 1.489>
3.192    Acceleration: <-0.480, -0.245, 1.489>
3.208    Acceleration: <0.149, 0.148, 0.571>
3.224    Acceleration: <0.455, 0.329, 0.603>
3.239    Acceleration: <0.522, 0.294, 0.713>
3.255    Acceleration: <0.608, 0.001, 1.069>
3.271    Acceleration: <0.517, -0.236, 0.736>
3.287    Acceleration: <0.294, -0.059, 0.021>
3.302    Acceleration: <0.294, -0.059, 0.021>
3.319    Acceleration: <-0.159, 0.638, 0.204>
3.335    Acceleration: <-0.153, 0.737, 0.710>
3.350    Acceleration: <0.036, 0.136, 1.279>
3.366    Acceleration: <0.089, -0.181, 1.356>
3.382    Acceleration: <-0.428, -0.511, 0.943>
3.397    Acceleration: <-0.909, -0.339, 0.942>
3.414    Acceleration: <-0.909, -0.339, 0.942>
3.431    Acceleration: <-1.007, -0.674, 1.206>
3.446    Acceleration: <-0.947, -0.907, 1.176>
3.463    Acceleration: <-0.893, -1.312, 1.234>
3.479    Acceleration: <-0.893, -1.312, 1.234>
3.494    Acceleration: <-0.799, -1.625, 1.601>
3.510    Acceleration: <-0.939, -1.385, 2.049>
3.527    Acceleration: <-0.972, -1.198, 2.275>
3.542    Acceleration: <-0.910, -0.990, 2.345>
3.558    Acceleration: <-0.910, -0.990, 2.345>
3.574    Acceleration: <-0.211, -1.869, 2.514>
3.589    Acceleration: <-0.570, -1.733, 2.324>
3.605    Acceleration: <-0.619, -1.512, 1.904>
3.622    Acceleration: <-0.848, -1.141, 1.881>
3.637    Acceleration: <-1.419, -1.181, 2.383>
3.652    Acceleration: <-2.659, -1.920, 3.468>
3.668    Acceleration: <-3.114, -2.445, 3.093>
3.683    Acceleration: <-1.893, -1.739, 3.045>
3.699    Acceleration: <-1.593, -1.079, 2.661>
3.716    Acceleration: <-1.032, 0.067, 2.302>
3.731    Acceleration: <-0.928, 0.698, 2.794>
3.747    Acceleration: <-1.239, 1.212, 4.275>
3.763    Acceleration: <-1.076, 1.085, 5.035>
3.778    Acceleration: <-0.274, 1.269, 5.421>
3.794    Acceleration: <0.122, 1.220, 5.340>
3.810    Acceleration: <-0.047, 2.358, 2.424>
3.825    Acceleration: <-0.527, 3.626, -0.255>
3.841    Acceleration: <-0.482, 4.415, -1.186>
3.857    Acceleration: <-0.486, 4.871, -1.537>
3.873    Acceleration: <-0.461, 5.123, -1.341>
3.889    Acceleration: <-0.915, 5.028, -2.170>
3.905    Acceleration: <-0.915, 5.028, -2.170>
3.920    Acceleration: <-1.567, 5.868, -7.526>
3.935    Acceleration: <-1.577, 4.744, -8.935>
3.951    Acceleration: <-1.342, 3.847, -8.884>
3.967    Acceleration: <-1.145, 3.009, -8.554>
3.982    Acceleration: <-0.538, 0.767, -6.859>
3.999    Acceleration: <-0.567, 0.127, -5.729>
4.015    Acceleration: <-0.672, 0.039, -5.215>
4.030    Acceleration: <-0.877, 0.121, -4.303>
4.046    Acceleration: <-0.877, 0.121, -4.303>
4.062    Acceleration: <-0.101, 0.772, -2.870>
4.077    Acceleration: <0.634, 1.136, -2.358>
4.093    Acceleration: <0.952, 1.367, -1.959>
4.110    Acceleration: <1.137, 1.250, -1.295>
4.125    Acceleration: <0.960, 0.857, -1.548>
4.141    Acceleration: <0.533, 0.463, -2.693>
4.158    Acceleration: <0.533, 0.463, -2.693>
4.173    Acceleration: <0.160, 1.075, -4.275>
4.189    Acceleration: <0.241, 1.191, -3.911>
4.206    Acceleration: <0.244, 1.007, -2.867>
4.221    Acceleration: <-0.212, 0.073, -3.217>
4.237    Acceleration: <-0.368, -0.068, -4.665>
4.253    Acceleration: <-0.327, 0.445, -6.050>
4.269    Acceleration: <-0.327, 0.445, -6.050>
4.285    Acceleration: <-0.369, 3.458, -8.114>
4.302    Acceleration: <-0.022, 4.194, -8.304>
4.317    Acceleration: <0.028, 4.435, -9.667>
4.333    Acceleration: <-0.529, 4.294, -10.067>
4.350    Acceleration: <-0.945, 4.487, -8.829>
4.365    Acceleration: <-0.665, 4.576, -6.643>
4.381    Acceleration: <-0.793, 4.054, -1.703>
4.397    Acceleration: <-1.240, 2.978, -0.413>
4.412    Acceleration: <-1.240, 2.978, -0.413>
4.428    Acceleration: <-2.497, 2.039, -0.632>
4.445    Acceleration: <-3.400, 1.598, 0.413>
4.460    Acceleration: <-3.329, 1.049, 2.682>
4.476    Acceleration: <-3.575, 0.598, 4.041>
4.493    Acceleration: <-3.832, -0.111, 6.799>
4.507    Acceleration: <-3.439, -1.093, 8.463>
4.523    Acceleration: <-3.476, -0.916, 8.843>
4.539    Acceleration: <-6.046, -1.929, 7.497>
4.555    Acceleration: <-6.149, -2.574, 7.253>
4.570    Acceleration: <-6.078, -3.342, 6.675>
4.587    Acceleration: <-6.078, -3.342, 6.675>
4.603    Acceleration: <-5.803, -2.979, 6.371>
4.618    Acceleration: <-6.313, -2.323, 5.360>
4.634    Acceleration: <-5.810, -1.891, 4.448>
4.649    Acceleration: <-5.239, -1.819, 4.250>
4.664    Acceleration: <-3.306, -2.167, 4.193>
4.680    Acceleration: <-2.900, -2.324, 4.299>
4.696    Acceleration: <-2.553, -2.386, 4.221>
4.711    Acceleration: <-1.820, -1.384, 2.681>
4.727    Acceleration: <-1.529, -0.873, 2.131>
4.743    Acceleration: <-0.749, -0.480, 1.586>
4.758    Acceleration: <-0.372, -0.153, 1.568>
4.774    Acceleration: <0.150, -0.080, 1.482>
4.790    Acceleration: <0.185, 0.245, 1.362>
4.805    Acceleration: <-0.535, 0.211, 1.374>
4.821    Acceleration: <-1.742, 0.228, 2.527>
4.837    Acceleration: <-2.075, 0.135, 3.210>
4.852    Acceleration: <-1.847, -0.296, 4.540>
4.868    Acceleration: <-1.847, -0.296, 4.540>
4.883    Acceleration: <-1.583, -0.618, 5.929>
4.898    Acceleration: <-1.944, -0.890, 5.760>
4.914    Acceleration: <-2.972, -1.444, 4.746>
4.930    Acceleration: <-3.673, -1.913, 3.453>
4.945    Acceleration: <-3.543, -1.567, 2.661>
4.961    Acceleration: <-3.606, -0.941, 1.959>
4.977    Acceleration: <-1.900, 0.502, 1.783>
4.992    Acceleration: <-0.029, 1.903, 2.101>
5.008    Acceleration: <0.610, 2.089, 2.244>
5.025    Acceleration: <0.399, 1.570, 2.809>
5.040    Acceleration: <0.179, 1.813, 3.157>
5.056    Acceleration: <0.248, 2.808, 2.217>
5.072    Acceleration: <0.460, 3.348, 1.148>
5.087    Acceleration: <-0.850, 2.246, 0.044>
5.103    Acceleration: <-1.567, 2.603, 0.234>
5.119    Acceleration: <-1.567, 2.603, 0.234>
5.135    Acceleration: <-1.624, 3.846, -6.252>
5.150    Acceleration: <-2.289, 4.123, -8.638>
5.166    Acceleration: <-4.175, 3.156, -11.186>
5.182    Acceleration: <-3.835, 2.542, -10.469>
5.197    Acceleration: <-2.914, 2.160, -9.040>
5.213    Acceleration: <-2.244, 2.184, -7.508>
5.227    Acceleration: <-1.190, 2.044, -5.956>
5.243    Acceleration: <-0.838, 1.388, -4.636>
5.259    Acceleration: <-0.838, 1.388, -4.636>
5.274    Acceleration: <-1.331, 1.479, -5.808>
5.290    Acceleration: <-1.376, 1.603, -7.438>
5.306    Acceleration: <-1.716, 2.732, -10.708>
5.322    Acceleration: <-1.756, 3.327, -11.394>
5.337    Acceleration: <-1.014, 4.331, -10.228>
5.353    Acceleration: <-0.471, 4.148, -9.517>
5.369    Acceleration: <-0.873, 4.122, -10.531>
5.384    Acceleration: <-3.241, 3.594, -13.729>
5.400    Acceleration: <-3.241, 3.594, -13.729>
5.416    Acceleration: <-5.815, 4.730, -7.337>
5.431    Acceleration: <-4.664, 3.621, -3.617>
